surface,chi,orientable,n,n_triangulations,n_components,component_sizes,min_vertices,at_minimum_n,n_newborn_here,newborn_here_sizes,min_degree_by_component,n_components_next,image_size,fiber_sizes,largest_fiber,n_newborn,newborn_sizes,newborn_criteria_agree,coalescence_distance,absorption_one_step,welldefined_checks,welldefined_violations
T^2,0,True,12,605496,1,[605496],7,False,0,[],[3],,,,,,,,,,,
Sigma_2,-2,True,10,865,1,[865],10,True,1,[865],[4],1,1,[1],1,0,[],True,0,True,20760,0
Sigma_2,-2,True,11,113506,1,[113506],10,False,0,[],[3],,,,,,,,,,,
Sigma_3,-4,True,10,20,4,"[13, 5, 1, 1]",10,True,4,"[13, 5, 1, 1]","[6, 6, 8, 7]",1,1,[4],4,0,[],True,17,True,560,0
Sigma_3,-4,True,11,65878,1,[65878],10,False,0,[],[3],,,,,,,,,,,
Sigma_4,-6,True,11,821,12,"[786, 9, 4, 4, 3, 3, 3, 3, 3, 1, 1, 1]",11,True,12,"[786, 9, 4, 4, 3, 3, 3, 3, 3, 1, 1, 1]","[6, 8, 8, 8, 8, 8, 8, 8, 7, 9, 8, 8]",,,,,,,,,,,
Sigma_6,-10,True,12,59,59,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12,True,59,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",,,,,,,,,,,
N_3,-1,False,9,133,1,[133],9,True,1,[133],[4],1,1,[1],1,0,[],True,0,True,2660,0
N_3,-1,False,10,11784,1,[11784],9,False,0,[],[3],1,1,[1],1,0,[],True,0,True,259248,0
N_3,-1,False,11,530278,1,[530278],9,False,0,[],[3],,,,,,,,,,,
N_4,-2,False,9,37,3,"[32, 3, 2]",9,True,3,"[32, 3, 2]","[5, 6, 6]",1,1,[3],3,0,[],True,13,True,814,0
N_4,-2,False,10,13657,1,[13657],9,False,0,[],[3],,,,,,,,,,,
N_6,-4,False,10,1022,22,"[363, 297, 253, 24, 12, 11, 11, 8, 6, 5, 5, 4, 4, 3, 3, 3, 2, 2, 2, 2, 1, 1]",10,True,22,"[363, 297, 253, 24, 12, 11, 11, 8, 6, 5, 5, 4, 4, 3, 3, 3, 2, 2, 2, 2, 1, 1]","[6, 6, 6, 6, 6, 7, 6, 6, 7, 6, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7]",,,,,,,,,,,
N_7,-5,False,10,14,14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,True,14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",,,,,,,,,,,
